,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released,budget_norm,runtime_norm,score_norm,votes_norm,popularity_norm
10,4700000,Other,USA,Other,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22.08.1986 00:00,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,1,0.70763234,70,FALSE,16337,tt0092076,The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,9.501011,After a decade of silence... The buzzz is back!,The Texas Chainsaw Massacre 2,Horror,en,US,"hammer, gore, slasher, chainsaw, b horror",1986,-1.0996689688804508,-1.1641709888030038,-0.7998272451035787,-0.6379539912811204,0.3672990524106847
11,15000000,Other,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,5.12.1986 00:00,130,6.8,Clint Eastwood,32954,James Carabatsos,1986,1,1.8482678,180,FALSE,10015,tt0091187,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",7.390012,...the scars run deep.,Heartbreak Ridge,"Action, Comedy, Drama, War","es, en",US,"recruit, officer, battle assignment, marine, platoon, combat",1986,-0.6605585510077658,1.7500190062360497,0.627259325613906,-0.4513835872436432,-0.2268430608003817
12,25000000,Paramount Pictures,USA,Other,Adventure,109713132,Star Trek IV: The Voyage Home,PG,26.11.1986 00:00,119,7.3,William Shatner,66366,Gene Roddenberry,1986,1,3.38852528,340,FALSE,168,tt0092007,Star Trek IV: The Voyage Home,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",12.596956,The key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,"Science Fiction, Adventure","en, fi",US,"saving the world, san francisco, uss enterprise-a, time travel, whale, marine biologist, vulcan, space opera",1986,-0.2342377569566153,0.9681631539084987,1.2218787300795244,0.08136492482371761,1.2386548913690332
13,25000000,Paramount Pictures,USA,Other,Action,79817937,The Golden Child,PG-13,12.12.1986 00:00,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,1,2.19271748,220,FALSE,10136,tt0091129,The Golden Child,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",8.236472000000001,Eddie Murphy is the chosen one.,The Golden Child,"Action, Adventure, Comedy","cs, en, it",US,"monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986,-0.2342377569566153,-0.8087819650177533,-0.4430556024242068,-0.2912497040073058,0.011393685474078851
14,1900000,Other,USA,Other,Crime,4600000,River's Edge,R,8.05.1987 00:00,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,1,1.421052632,140,FALSE,21309,tt0091860,River's Edge,"A group of high school friends discover that they are in the presence of a killer. One of them, Samson, has murdered his girlfriend Jamie. He brags to his friends about killing her, and when they discover he is telling the truth, their reactions vary.",4.482439,The most controversial film you will see this year.,River's Edge,"Crime, Drama",en,US,"sex, police, friends, murder",1987,-1.2190387912147729,-0.45339294123250296,0.9840309682932769,-0.77174702266976,-1.0451814714464498
15,25000000,Other,USA,Other,Comedy,39246734,¡Three Amigos!,PG,12.12.1986 00:00,104,6.4,Steve Martin,57406,Steve Martin,1986,1,0.56986936,60,FALSE,8388,tt0092086,¡Three Amigos!,"Three unemployed actors accept an invitation to a Mexican village to replay their bandit fighter roles, unaware that it is the real thing.",6.377624,"They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!",¡Three Amigos!,"Comedy, Western","en, de, es",US,"mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986,-0.2342377569566153,-0.09800391744725254,0.15156380204141173,-0.06150071231633845,-0.5117803562275821
16,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17.10.1986 00:00,119,7.0,Paul Newman,62495,Walter Tevis,1986,1,2.7894189860000003,280,FALSE,11873,tt0090863,The Color of Money,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",11.613655,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.,The Color of Money,Drama,"en, es",US,"bar, billard, talent, hustler, sport",1986,-0.7117170462939039,0.9681631539084987,0.8651070874001535,0.01964250502805277,0.9619041519975057
17,10000000,Other,USA,Other,Comedy,37499651,The Money Pit,PG,26.03.1986 00:00,91,6.3,Tom Hanks,41278,David Giler,1986,1,2.7499651000000003,270,FALSE,10466,tt0091541,The Money Pit,"After being evicted from their Manhattan apartment, a couple buys what looks like the home of their dreams – only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything – including the kitchen sink – disappears into the 'Money Pit'.",7.054864,For everyone who's ever been deeply in Love or deeply in debt.,The Money Pit,"Comedy, Romance",en,US,"rock star, price, chaos, house, home ownership",1986,-0.873718948033341,-1.0220153792889035,0.032639921148287405,-0.31865885916843933,-0.32117069475874077
18,25000000,Other,USA,Other,Adventure,14302779,The Mosquito Coast,PG,26.11.1986 00:00,117,6.6,Harrison Ford,23076,Paul Theroux,1986,0,-0.42788884,-40,FALSE,11120,tt0091557,The Mosquito Coast,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",6.224859,He went too far.,The Mosquito Coast,"Adventure, Drama",en,US,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986,-0.2342377569566153,0.8260075443943985,0.3894115638276583,-0.6088865742603256,-0.5547761700222302
19,4500000,Other,USA,Other,Horror,1261000,From Beyond,R,24.10.1986 00:00,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,FALSE,14510,tt0091083,From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",7.522655,Humans are such easy prey.,From Beyond,"Horror, Science Fiction, Fantasy",en,US,"human experimentation, h.p. lovecraft, parallel world",1986,-1.1081953847614738,-1.377404403074154,0.5083354447207826,-0.7115712509547408,-0.1895105976762135
20,18000000,TriStar Pictures,USA,Other,Comedy,41382841,Peggy Sue Got Married,PG-13,10.10.1986 00:00,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,1,1.299046722,130,FALSE,10013,tt0091738,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",7.471655,"Knowing what you know now, what would you do differently?",Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",en,US,"time travel, high school reunion",1986,-0.5326623127924207,-0.16908172220430262,0.032639921148287405,-0.5219394404071196,-0.203864582578037
21,19000000,Other,USA,Other,Horror,40996665,Poltergeist II: The Other Side,PG-13,23.05.1986 00:00,91,5.7,JoBeth Williams,20669,Mark Victor,1986,1,1.157719211,120,FALSE,11133,tt0091778,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",6.701138,They're back.,Poltergeist II: The Other Side,"Horror, Thriller",en,US,"monster, poltergeist, supernatural powers, family secrets",1986,-0.4900302333873056,-1.0220153792889035,-0.6809033642104544,-0.647265769416142,-0.4207271195309446
22,18000000,Other,USA,Other,Adventure,9697739,SpaceCamp,PG,6.06.1986 00:00,107,5.6,Kate Capshaw,11484,Clifford Green,1986,0,-0.461236722,-50,FALSE,13766,tt0091993,SpaceCamp,"Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",6.41742,The stars belong to a new generation.,SpaceCamp,"Family, Adventure",en,US,"space, astronaut, space shuttle, trapped in space, space camp",1986,-0.5326623127924207,0.11522949682389771,-0.7998272451035787,-0.7937189923102731,-0.5005797447932102
23,14000000,Walt Disney Pictures,USA,Other,Animation,38600000,The Great Mouse Detective,G,2.07.1986 00:00,74,7.2,Vincent Price,36539,Peter Young,1986,1,1.7571428569999998,180,FALSE,9994,tt0091149,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",11.183924,London's crime-fighting ace on his most baffling case!,The Great Mouse Detective,"Comedy, Animation, Family",en,US,"london england, detective, queen, sherlock holmes, cartoon mouse",1986,-0.7031906304128809,-2.230338060158755,1.1029548491864012,-0.3942213875620471,0.8409560679613196
24,6000000,Other,USA,Other,Animation,5849647,The Transformers: The Movie,PG,8.08.1986 00:00,84,7.3,Orson Welles,33609,Ron Friedman,1986,0,-0.025058833,0,FALSE,1857,tt0092106,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",6.759181,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,Animation,"en, ja",US,"toy, transformation, based on toy, transformers, robots, intergalactic war",1986,-1.0442472656538013,-1.5195600125882542,1.2218787300795244,-0.44093972649289137,-0.4043908774592479
25,5000000,TriStar Pictures,USA,Other,Comedy,591366,Night of the Creeps,R,22.08.1986 00:00,88,6.8,Jason Lively,16077,Fred Dekker,1986,0,-0.8817268,-90,FALSE,15762,tt0091630,Night of the Creeps,"In 1959, an alien experiment crashes to earth and infects a fraternity member. They freeze the body, but in the modern day, two geeks pledging a fraternity accidentally thaw the corpse, which proceeds to infect the campus with parasites that transform their hosts into killer zombies.",5.460546,The good news is your date is here.  The bad news is.. he's dead.,Night of the Creeps,"Comedy, Horror, Science Fiction",en,US,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986,-1.0868793450589163,-1.2352487935600538,0.627259325613906,-0.7204844084504207,-0.7698925869294339
26,6500000,Other,USA,Other,Crime,2347000,At Close Range,R,18.04.1986 00:00,111,7.0,Sean Penn,11607,Elliott Lewitt,1986,0,-0.6389230770000001,-60,FALSE,13715,tt0090670,At Close Range,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970's. Their criminal activities ranged from burglary, theft... and ultimately, murder.",10.092348,Like father. Like son. Like hell.,At Close Range,"Crime, Drama",en,US,"rape, 1970s, gun, sociopath, drug",1986,-1.0229312259512437,0.39954071585209805,0.8651070874001535,-0.791757778764712,0.5337312557418525
27,15000000,Warner Bros.,USA,Other,Adventure,1953732,The Clan of the Cave Bear,R,17.01.1986 00:00,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,0,-0.8697511999999998,-90,FALSE,13853,tt0090848,The Clan of the Cave Bear,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",10.750748,"At The Dawn Of Mankind, A Woman Led The Way.",The Clan of the Cave Bear,"Adventure, Drama",en,US,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986,-0.6605585510077658,-0.524470745989553,-1.1565988877829496,-0.891684000634883,0.7190383863175497
28,12000000,Other,USA,Other,Action,17768900,The Delta Force,R,14.02.1986 00:00,125,5.6,Chuck Norris,15819,James Bruner,1986,1,0.480741667,50,FALSE,16113,tt0090927,The Delta Force,A 707 aircraft jetliner on its way from Athens to Rome and then to New York City is hijacked by Lebanese terrorists. The terrorists demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandoes led by Major McCoy (Norris) and by Colonel Alexander (Marvin) has been called into service to eliminate all terrorists on the jetliner.,7.224683,They don't negotiate with terrorists... they blow them away!,The Delta Force,"Action, Thriller","ar, en, el, he","IL, US","terrorist, airplane hijacking, covert operation",1986,-0.788454789223111,1.3946299824507993,-0.7998272451035787,-0.7245981734484268,-0.27337502099319666
29,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14.03.1986 00:00,112,6.2,Michael Keaton,9965,Edwin Blum,1986,1,1.033978333,100,FALSE,13698,tt0091159,Gung Ho,"When a western Pennsylvania auto plant is acquired by a Japanese company, brokering auto worker Hunt Stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. At one end is the Japanese plant manager and the sycophant who is angling for his position. At the other, a number of disgruntled long-time union members struggle with the new exigencies of Japanese quality control.",6.853782000000002,"When East meets West, the laughs shift into high gear!",Gung Ho,"Comedy, Drama",en,US,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986,-0.5326623127924207,0.4706185206091481,-0.08628395974483588,-0.8179391823566732,-0.3777653612691023
30,8700000,Other,USA,Other,Action,4865912,Band of the Hand,R,11.04.1986 00:00,109,6.3,Stephen Lang,2297,Leo Garen,1986,0,-0.44069977,-40,FALSE,33762,tt0090693,Band of the Hand,An Indian Vietnam veteran trains five street punks in the Everglades to fight vice in Miami.,4.397712,"They're back on the mean streets. But this time, they're the good guys.",Band of the Hand,"Action, Crime, Drama",en,US,"bikini, gang, drug addict, illegal drugs, survival training",1986,-0.9291406512599907,0.2573851063379979,0.032639921148287405,-0.9402041048555515,-1.0690279435793282
31,12000000,Columbia Pictures Corporation,USA,Other,Action,15945534,Armed and Dangerous,PG-13,15.08.1986 00:00,88,5.6,John Candy,9040,Brian Grazer,1986,1,0.3287945,30,FALSE,2620,tt0090660,Armed and Dangerous,"Dooley, a cop wrongly sacked for corruption, teams up with a useless defence lawyer in their new careers... as security guards. When the two are made fall guys for a robbery at a location they are guarding, the pair begin to investigate corruption within the company and their union. They soon make enemies of everyone, but can the unlikely duo save the day?",5.037671,Undercover. Overdressed. And keeping you safe from the scum of the earth,Armed and Dangerous,"Action, Comedy, Crime",en,US,"corruption, ex-cop, private detective, criminal defence lawyer",1986,-0.788454789223111,-1.2352487935600538,-0.7998272451035787,-0.8326881460123151,-0.8889110450737199
32,1100000,Other,USA,Other,Comedy,1436000,Down by Law,R,30.10.1986 00:00,107,7.8,Tom Waits,39456,Jim Jarmusch,1986,1,0.305454545,30,FALSE,1554,tt0090967,Down by Law,The story of three men from completely different tracks who all meet in a Louisiana prison cell and eventually begin an awkward journey together.,8.843551,It's not where you start - It's where you start again.,Down by Law,"Crime, Drama, Comedy","en, it","DE, US","prison, prostitute, pimp, fight, louisiana, independent film, escape, conviction",1986,-1.253144454738865,0.11522949682389771,1.816498134545143,-0.3477103313636606,0.182256485478276
33,10000000,Other,USA,Other,Action,20603715,F/X,R,7.02.1986 00:00,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,1,1.0603715,110,FALSE,9873,tt0089118,F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.",6.620556,Murder by Illusion,F/X,"Crime, Thriller, Action",en,US,"corruption, detective, assassin, showdown, fbi, mission of murder, witness protection, stuntman, police, mafia boss, deception, special effects, gunfight, new york city, violence, car chase, disguise, federal agent, makeup artist, manhunt, justice department",1986,-0.873718948033341,0.2573851063379979,0.5083354447207826,-0.7455975087289461,-0.4434069785771945
34,18000000,Other,USA,Other,Sci-Fi,3900000,The Manhattan Project,PG-13,13.06.1986 00:00,117,6.1,John Lithgow,4666,Marshall Brickman,1986,0,-0.783333333,-80,FALSE,30194,tt0091472,The Manhattan Project,"Named after the World War II-era program, the plot revolves around a gifted high school student who decides to construct a nuclear bomb for a national science fair. The film's underlying theme involves the Cold War of the 1980s when government secrecy and mutually assured destruction were key political and military issues.",4.29831,Paul Stevens' high school science project has gotten a little out of hand. He just built an atomic bomb. Now he's got 11 hours to make sure it doesn't work.,The Manhattan Project,"Science Fiction, Thriller",en,US,"bomb, helicopter, plutonium, laser, heist, fugitive, teenager, scientist, nuclear, science, project",1986,-0.5326623127924207,0.8260075443943985,-0.20520784063796021,-0.9024308130715345,-1.097004704505035
35,25000000,Other,USA,Other,Action,1579260,Solarbabies,PG-13,26.11.1986 00:00,94,4.8,Richard Jordan,3397,Walon Green,1986,0,-0.9368296,-90,FALSE,36677,tt0091981,Solarbabies,"In a future in which most water has disappeared from the Earth, we find a group of children, mostly teenagers, who are living at an orphanage, run by the despotic rulers of the new Earth. The group in question plays a hockey based game on roller skates and is quite good. It has given them a unity that transcends the attempts to bring them to heel by the government. Finding an orb of special power, they find it has unusual effects on them. They escape from the orphanage (on skates) and try to cross the wasteland looking for a place they can live free as the storm-troopers search for them and the orb.",1.278665,Who will rule the future?,Solarbabies,Science Fiction,en,US,"post-apocalyptic, roller-skating, teenager, dystopic future, drought",1986,-0.2342377569566153,-0.8087819650177533,-1.7512182922485682,-0.9226647967245178,-1.9468858562475182
36,10000000,Touchstone Pictures,USA,Other,Comedy,21458229,Tough Guys,PG,3.10.1986 00:00,104,6.2,Burt Lancaster,5584,James Orr,1986,1,1.1458229,110,FALSE,11038,tt0092105,Tough Guys,"Harry Doyle (Lancaster) and Archie Lang (Douglas) are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. Harry and Archie realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt. Archie, who spent his prison time pumping himself up, easily picks up a 20-year-old aerobics instructor. Harry, on the other hand, has to waste away his days in a nursing home. They both have festering resentments -- Archie for having to endure a humiliating job as a busboy; Harry for having to endure patronizing attitudes toward senior citizens. The two old pals finally go back to what they know best. After successfully robbing an armored car, they decide to rob the same train that they robbed thirty years ago.",2.86084,They're Out To Teach A New World Some Old Tricks.,Tough Guys,"Comedy, Crime",en,US,"prison, train robbery",1986,-0.873718948033341,-0.09800391744725254,-0.08628395974483588,-0.8877934631949082,-1.501581619736881
37,12000000,Other,USA,Other,Comedy,7790931,The Best of Times,PG-13,31.01.1986 00:00,104,5.9,Robin Williams,5523,Ron Shelton,1986,0,-0.35075575,-40,FALSE,30653,tt0090713,The Best of Times,A small-town loser determines to have one more shot at the big time by winning a football game.,5.655712,"A comedy about life, hope, and getting even.",The Best of Times,Comedy,"en, de",US,sport,1986,-0.788454789223111,-0.09800391744725254,-0.4430556024242068,-0.8887660975549019,-0.7149629826676832
