,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,isprofit,profitability_ratio,profitability_ratio_bucket,adult,id,imdb_id,original_title,overview,popularity,tagline,title,genres_edited,spoken_languages_edited,production_countries_edited,keywords_edited,year_released
15,2700000,Other,USA,Other,Action,3500000,The Wraith,PG-13,21.11.1986 00:00,93,5.9,Charlie Sheen,11635,Mike Marvin,1986,1,0.296296296,30,FALSE,10017,tt0092240,The Wraith,"Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way...",7.657918,He's not from around here...,The Wraith,"Romance, Science Fiction, Horror, Action, Crime",en,"US, CA","male nudity, female nudity, sex, killing, sheriff, car race, cemetery, shotgun, arizona, nudity, reincarnation, police, auto-tuning, street race, revenge, murder, car crash, alien, independent film, gang, motorcycle, violence, car chase, cult film, ghost, road movie, drag racing, roller skates, strange person, budweiser, turbo intercepter",1986
16,35000000,Universal Pictures,USA,Other,Action,16295774,Howard the Duck,PG,1.08.1986 00:00,110,4.6,Lea Thompson,36020,Steve Gerber,1986,0,-0.534406457,-50,FALSE,10658,tt0091225,Howard the Duck,A scientific experiment unknowingly brings extraterrestrial life forms to the Earth through a laser beam. First is the cigar smoking drake Howard from the duck's planet. A few kids try to keep him from the greedy scientists and help him back to his planet. But then a much less friendly being arrives through the beam...,10.722672,You will believe that a duck can talk.,Howard the Duck,"Comedy, Fantasy, Science Fiction","en, pt",US,"duck, physicist, extraterrestrial, anthropomorphism, alien invasion, alternative reality",1986
17,2000000,New Line Cinema,USA,Other,Action,13167232,Critters,PG-13,11.04.1986 00:00,82,6.0,Dee Wallace,25517,Domonic Muir,1986,1,5.583616,560,FALSE,3980,tt0090887,Critters,A massive ball of furry creatures from another world eat their way through a small mid-western town followed by intergalactic bounty hunters opposed only by militant townspeople.,10.113807000000001,"They eat so fast, you don't have time to scream.",Critters,"Action, Comedy, Horror, Science Fiction, Thriller",en,US,"sheriff, bounty hunter, cat, brother sister relationship, small town, barn, toilet, kansas, spaceship, alien, creature, explosion, family, exploding house, brother sister , alien fugitive, alien creature",1986
18,11000000,Other,USA,Other,Comedy,91258000,Back to School,PG-13,13.06.1986 00:00,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986,1,7.296181817999999,730,FALSE,15596,tt0090685,Back to School,"Self-made millionaire Thornton Melon decides to get a better education and enrolls at his son Jason's college. While Jason tries to fit in with his fellow students, Thornton struggles to gain his son's respect, giving way to hilarious antics.",6.669878999999999,"Registration starts Friday, June 13, at theaters everywhere.",Back to School,Comedy,"en, pt",US,"college, whirlpool, clothing store, source music, poetry recitation, bribe, clothing store owner, reference to longfellow, tutoring",1986
19,4700000,Other,USA,Other,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22.08.1986 00:00,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,1,0.70763234,70,FALSE,16337,tt0092076,The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,9.501011,After a decade of silence... The buzzz is back!,The Texas Chainsaw Massacre 2,Horror,en,US,"hammer, gore, slasher, chainsaw, b horror",1986
20,15000000,Other,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,5.12.1986 00:00,130,6.8,Clint Eastwood,32954,James Carabatsos,1986,1,1.8482678,180,FALSE,10015,tt0091187,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",7.390012,...the scars run deep.,Heartbreak Ridge,"Action, Comedy, Drama, War","es, en",US,"recruit, officer, battle assignment, marine, platoon, combat",1986
21,25000000,Paramount Pictures,USA,Other,Adventure,109713132,Star Trek IV: The Voyage Home,PG,26.11.1986 00:00,119,7.3,William Shatner,66366,Gene Roddenberry,1986,1,3.38852528,340,FALSE,168,tt0092007,Star Trek IV: The Voyage Home,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",12.596956,The key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,"Science Fiction, Adventure","en, fi",US,"saving the world, san francisco, uss enterprise-a, time travel, whale, marine biologist, vulcan, space opera",1986
22,25000000,Paramount Pictures,USA,Other,Action,79817937,The Golden Child,PG-13,12.12.1986 00:00,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,1,2.19271748,220,FALSE,10136,tt0091129,The Golden Child,"A detective specializing in missing children is on a madcap mission to save a youth with mystical powers who's been abducted by an evil cult. He battles a band of super-nasties, scrambles through a booby-trapped chamber of horrors and traverses Tibet to obtain a sacred dagger.",8.236472000000001,Eddie Murphy is the chosen one.,The Golden Child,"Action, Adventure, Comedy","cs, en, it",US,"monk, social worker, wretch, tibet, demon, evil, missing person, mysticism, reluctant hero",1986
23,1900000,Other,USA,Other,Crime,4600000,River's Edge,R,8.05.1987 00:00,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,1,1.4210526319999999,140,FALSE,21309,tt0091860,River's Edge,"A group of high school friends discover that they are in the presence of a killer. One of them, Samson, has murdered his girlfriend Jamie. He brags to his friends about killing her, and when they discover he is telling the truth, their reactions vary.",4.482439,The most controversial film you will see this year.,River's Edge,"Crime, Drama",en,US,"sex, police, friends, murder",1987
24,25000000,Other,USA,Other,Comedy,39246734,¡Three Amigos!,PG,12.12.1986 00:00,104,6.4,Steve Martin,57406,Steve Martin,1986,1,0.56986936,60,FALSE,8388,tt0092086,¡Three Amigos!,"Three unemployed actors accept an invitation to a Mexican village to replay their bandit fighter roles, unaware that it is the real thing.",6.377624,"They're Down On Their Luck And Up To Their Necks In Senoritas, Margaritas, Banditos And Bullets!",¡Three Amigos!,"Comedy, Western","en, de, es",US,"mexico, hero, village, united states–mexico barrier, confusion, spoof, western hero, western band, actor",1986
25,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17.10.1986 00:00,119,7.0,Paul Newman,62495,Walter Tevis,1986,1,2.7894189860000003,280,FALSE,11873,tt0090863,The Color of Money,"Former pool hustler ""Fast Eddie"" Felson decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",11.613655,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.,The Color of Money,Drama,"en, es",US,"bar, billard, talent, hustler, sport",1986
26,10000000,Other,USA,Other,Comedy,37499651,The Money Pit,PG,26.03.1986 00:00,91,6.3,Tom Hanks,41278,David Giler,1986,1,2.7499651000000003,270,FALSE,10466,tt0091541,The Money Pit,"After being evicted from their Manhattan apartment, a couple buys what looks like the home of their dreams – only to find themselves saddled with a bank-account-draining nightmare. Struggling to keep their relationship together as their rambling mansion falls to pieces around them, the two watch in hilarious horror as everything – including the kitchen sink – disappears into the 'Money Pit'.",7.054864,For everyone who's ever been deeply in Love or deeply in debt.,The Money Pit,"Comedy, Romance",en,US,"rock star, price, chaos, house, home ownership",1986
27,25000000,Other,USA,Other,Adventure,14302779,The Mosquito Coast,PG,26.11.1986 00:00,117,6.6,Harrison Ford,23076,Paul Theroux,1986,0,-0.42788884,-40,FALSE,11120,tt0091557,The Mosquito Coast,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",6.2248589999999995,He went too far.,The Mosquito Coast,"Adventure, Drama",en,US,"paradise, living together, power, governance, exit, idealism, honduras, idealist, nature, emigrant",1986
28,10000000,Other,USA,Other,Action,4711220,King Kong Lives,PG-13,19.12.1986 00:00,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986,0,-0.528878,-50,FALSE,31947,tt0091344,King Kong Lives,Kong falls from the twin towers and he appears to be alive!,2.663294,America's biggest hero is back... and he is not happy.,King Kong Lives,"Action, Horror",en,US,"king kong, giant ape",1986
29,4500000,Other,USA,Other,Horror,1261000,From Beyond,R,24.10.1986 00:00,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,0,-0.719777778,-70,FALSE,14510,tt0091083,From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",7.522655,Humans are such easy prey.,From Beyond,"Horror, Science Fiction, Fantasy",en,US,"human experimentation, h.p. lovecraft, parallel world",1986
30,18000000,TriStar Pictures,USA,Other,Comedy,41382841,Peggy Sue Got Married,PG-13,10.10.1986 00:00,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,1,1.299046722,130,FALSE,10013,tt0091738,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",7.471655,"Knowing what you know now, what would you do differently?",Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance",en,US,"time travel, high school reunion",1986
31,19000000,Other,USA,Other,Horror,40996665,Poltergeist II: The Other Side,PG-13,23.05.1986 00:00,91,5.7,JoBeth Williams,20669,Mark Victor,1986,1,1.1577192109999999,120,FALSE,11133,tt0091778,Poltergeist II: The Other Side,"The Freeling family move in with Diane's mother in an effort to escape the trauma and aftermath of Carol Anne's abduction by the Beast. But the Beast is not to be put off so easily and appears in a ghostly apparition as the Reverend Kane, a religeous zealot responsible for the deaths of his many followers. His goal is simple - he wants the angelic Carol Anne.",6.701138,They're back.,Poltergeist II: The Other Side,"Horror, Thriller",en,US,"monster, poltergeist, supernatural powers, family secrets",1986
32,1100000,Other,USA,Other,Comedy,5450815,Troll,PG-13,17.01.1986 00:00,82,4.3,Michael Moriarty,7569,Ed Naha,1986,1,3.9552863639999996,400,FALSE,33061,tt0092115,Troll,"When a family moves into a San Francisco apartment, an opportunistic troll decides to make his move and take possession of little Wendy (Jenny Beck), thereby paving the way for new troll recruits, the first in his army that will take eventual control of the planet. We soon discover Torok is the ex-husband of Eunice St. Clair, a resident in the building who was married to Torok.",10.254424,"Worlds of Magic, Mystery and Menace.",Troll,"Fantasy, Horror",en,"IT, US","troll, potter",1986
33,111000,Other,USA,Other,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,7.09.1990 00:00,83,7.0,Michael Rooker,25367,Richard Fire,1986,1,4.4949459460000005,450,FALSE,10692,tt0099763,Henry: Portrait of a Serial Killer,"Henry likes to kill people, in different ways each time. Henry shares an apartment with Otis. When Otis' sister comes to stay, we see both sides of Henry: ""the guy next door"" and the serial killer.",10.072668,The shocking true story of Henry Lee Lucas.,Henry: Portrait of a Serial Killer,"Crime, Drama, Horror, Thriller",en,US,"chicago, prostitute, rape, sadistic, nudity, sister, psychopath, murder, video camera, serial killer, true, blood, extreme violence, killing spree, incest, cult film, murderer duo",1990
34,18000000,Other,USA,Other,Adventure,9697739,SpaceCamp,PG,6.06.1986 00:00,107,5.6,Kate Capshaw,11484,Clifford Green,1986,0,-0.46123672200000004,-50,FALSE,13766,tt0091993,SpaceCamp,"Andie Bergstrom, an astronaut eagerly awaiting her first trip to space, runs a summer camp for teenagers with her NASA-employed husband, Zach. One night during an engine test, Andie and four teenage campers are accidentally shot into space. Together, the group -- which includes Kathryn, a pilot-in-training, and Tish, a ditz with a perfect memory -- must work together to operate the spacecraft and return home.",6.41742,The stars belong to a new generation.,SpaceCamp,"Family, Adventure",en,US,"space, astronaut, space shuttle, trapped in space, space camp",1986
35,6400000,Other,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,14.03.1986 00:00,107,8.0,Mia Farrow,56988,Woody Allen,1986,1,5.263131406,530,FALSE,5143,tt0091167,Hannah and Her Sisters,"Between two Thanksgivings, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",9.57874,,Hannah and Her Sisters,"Comedy, Drama",en,US,"writing, opera, thanksgiving, hypochondriac, television producer, architecture, singing, new york city, relationship, art, fear of dying",1986
36,14000000,Walt Disney Pictures,USA,Other,Animation,38600000,The Great Mouse Detective,G,2.07.1986 00:00,74,7.2,Vincent Price,36539,Peter Young,1986,1,1.7571428569999998,180,FALSE,9994,tt0091149,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",11.183924000000001,London's crime-fighting ace on his most baffling case!,The Great Mouse Detective,"Comedy, Animation, Family",en,US,"london england, detective, queen, sherlock holmes, cartoon mouse",1986
37,6000000,Other,USA,Other,Animation,5849647,The Transformers: The Movie,PG,8.08.1986 00:00,84,7.3,Orson Welles,33609,Ron Friedman,1986,0,-0.025058833,0,FALSE,1857,tt0092106,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",6.759181,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie,Animation,"en, ja",US,"toy, transformation, based on toy, transformers, robots, intergalactic war",1986
38,5000000,TriStar Pictures,USA,Other,Comedy,591366,Night of the Creeps,R,22.08.1986 00:00,88,6.8,Jason Lively,16077,Fred Dekker,1986,0,-0.8817268,-90,FALSE,15762,tt0091630,Night of the Creeps,"In 1959, an alien experiment crashes to earth and infects a fraternity member. They freeze the body, but in the modern day, two geeks pledging a fraternity accidentally thaw the corpse, which proceeds to infect the campus with parasites that transform their hosts into killer zombies.",5.460546,The good news is your date is here.  The bad news is.. he's dead.,Night of the Creeps,"Comedy, Horror, Science Fiction",en,US,"female nudity, monster, spacecraft, experiment, nudity, brain, ax, police, murder, alien, sorority, gore, morgue, undead, serial killer, decapitation, zombie, corpse, teenager, exploding head, violence, cult film, fraternity, parasite, axe murder, space monster",1986
39,6000000,Other,Other,Other,Drama,28607524,Hoosiers,PG,27.02.1987 00:00,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986,1,3.767920667,380,FALSE,5693,tt0091217,Hoosiers,"High school basketball is king in small-town Indiana, and the 1954 Hickory Huskers are all hope and no talent. But their new coach -- abrasive, unlikable Norman Dale -- whips the team into shape ... while also inciting controversy.",6.484495,They needed a second chance to finish first.,Hoosiers,"Drama, Family",en,US,"father son relationship, indiana, son, sport, basketball, high school sports",1987
40,6500000,Other,USA,Other,Crime,2347000,At Close Range,R,18.04.1986 00:00,111,7.0,Sean Penn,11607,Elliott Lewitt,1986,0,-0.6389230770000001,-60,FALSE,13715,tt0090670,At Close Range,"Based upon the true story of Bruce Johnston Sr., his son, and his brothers; together, they constituted one of suburban Philadelphia's most notorious crime families during the 1970's. Their criminal activities ranged from burglary, theft... and ultimately, murder.",10.092348,Like father. Like son. Like hell.,At Close Range,"Crime, Drama",en,US,"rape, 1970s, gun, sociopath, drug",1986
41,20000000,Paramount Pictures,USA,Other,Comedy,25314289,Heartburn,R,25.07.1986 00:00,108,6.1,Meryl Streep,7570,Nora Ephron,1986,1,0.26571445,30,FALSE,13818,tt0091188,Heartburn,"Rachel is a food writer at a New York magazine who meets Washington columnist Mark at a wedding and ends up falling in love with him despite her reservations about marriage. They buy a house, have a daughter, and Rachel thinks they are living happily ever after until she discovers that Mark is having an affair while she is waddling around with a second pregnancy.",16.071191,,Heartburn,"Comedy, Drama, Romance",en,US,"journalist, wife husband relationship, infidelity",1986
42,15000000,Warner Bros.,USA,Other,Adventure,1953732,The Clan of the Cave Bear,R,17.01.1986 00:00,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,0,-0.8697511999999998,-90,FALSE,13853,tt0090848,The Clan of the Cave Bear,"Natural changes have the clans moving. Iza, medicine woman of the ""Clan of the Cave Bear"" finds little Ayla from the ""others""' clan - tradition would have the clan kill Ayla immediately, but Iza insists on keeping her. When the little one finds a most needed new cave, she's allowed to stay - and thrive.",10.750748,"At The Dawn Of Mankind, A Woman Led The Way.",The Clan of the Cave Bear,"Adventure, Drama",en,US,"stone age, tribe, cavemen, prehistoric adventure, prehistoric times, neanderthal, prehistoric man",1986
43,12000000,Other,USA,Other,Action,17768900,The Delta Force,R,14.02.1986 00:00,125,5.6,Chuck Norris,15819,James Bruner,1986,1,0.48074166700000004,50,FALSE,16113,tt0090927,The Delta Force,A 707 aircraft jetliner on its way from Athens to Rome and then to New York City is hijacked by Lebanese terrorists. The terrorists demand that the pilot take them to Beirut. What the terrorists don't realize is that an elite team of commandoes led by Major McCoy (Norris) and by Colonel Alexander (Marvin) has been called into service to eliminate all terrorists on the jetliner.,7.224683,They don't negotiate with terrorists... they blow them away!,The Delta Force,"Action, Thriller","ar, en, el, he","IL, US","terrorist, airplane hijacking, covert operation",1986
44,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14.03.1986 00:00,112,6.2,Michael Keaton,9965,Edwin Blum,1986,1,1.0339783329999999,100,FALSE,13698,tt0091159,Gung Ho,"When a western Pennsylvania auto plant is acquired by a Japanese company, brokering auto worker Hunt Stevenson faces the tricky challenge of mediating the assimilation of two clashing corporate cultures. At one end is the Japanese plant manager and the sycophant who is angling for his position. At the other, a number of disgruntled long-time union members struggle with the new exigencies of Japanese quality control.",6.853782000000001,"When East meets West, the laughs shift into high gear!",Gung Ho,"Comedy, Drama",en,US,"japan, usa, factory worker, factory, culture clash, worker, automobile industry, business, unemployment, auto industry, car factory",1986
